Crop,City,Necessary_Measures
Niger seed,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Andhra Pradesh,"Use disease-free seeds, precision irrigation, organic manure."
Ragi,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Andhra Pradesh,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Andhra Pradesh,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Safflower,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Andhra Pradesh,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sunflower,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sweet potato,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tapioca,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Andhra Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Andhra Pradesh,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arecanut,Assam,"Agroforestry practices, organic manures, pest-resistant varieties."
Arhar/Tur,Assam,"Promote intercropping, biofertilizers, efficient irrigation."
Banana,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Assam,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Coconut ,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Assam,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Assam,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Mesta,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Assam,"Use disease-free seeds, precision irrigation, organic manure."
Rapeseed &Mustard,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Assam,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Assam,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Assam,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Assam,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sweet potato,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tapioca,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Assam,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arecanut,Karnataka,"Agroforestry practices, organic manures, pest-resistant varieties."
Arhar/Tur,Karnataka,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Bajra,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Bajra,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Banana,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Black pepper,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cardamom,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Karnataka,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Coconut ,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coriander,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Karnataka,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Garlic,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Karnataka,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Karnataka,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Karnataka,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Mesta,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Karnataka,"Use disease-free seeds, precision irrigation, organic manure."
Ragi,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Karnataka,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Karnataka,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Karnataka,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Safflower,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sannhamp,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Karnataka,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sunflower,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sunflower,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sunflower,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sweet potato,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tapioca,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Karnataka,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arecanut,Kerala,"Agroforestry practices, organic manures, pest-resistant varieties."
Banana,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Black pepper,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cardamom,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cashewnut,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coconut ,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Kerala,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Garlic,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Kerala,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
